;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;
Depth;LcC or Uch;Abies;Picea;Pinus;Pinus (white);Ephedra;Pseudotsuga;TCT;Juniperus/Cupressus;Tsuga mertensiana;Tsuga heterophylla;Acer;Acer negundo;Quercus;Q. chrysolepis/Q. vaccinifolia;Aesculus;Lithocarpus/Castanopsis;Fraxinus;Juglans;Garrya;Platanus;Fremontia;Rosaceae;Adenostoma;Cercocarpus;Rhamnaceae;Ceanothus;Cephalanthus;Sambucus;Shepherdia;Elaeagnus;Sanguisorba;Ribes;Purshia;Salix;Myrica;Corylus;Alnus;Artemisia;Ambrosia;Liguliflorae;Compositae HS;Compositae LS;Ericaceae;Linaceae;Cruciferae;Arceuthobium;Caryophyllaceae;Malvaceae;Liliaceae;Leguminosae;Onagraceae;Labiatae;Salvia;Eriogonum;Polygonum amphibium;Polygonum californica;Vitis;Rumex ;Plantago;Polemoniaceae;Navarettia;Ranunculaceae;Umbelliferae;Rubiaceae;Thalictrum;Rhus;Lonicera;Amaranthaceae;Sarcobatus;Poaceae;Cyperaceae;Typha latifolia;Typha/Sparganium;Potamogeton;Isoetes;Equisetum;Myriophyllum;Ruppia;Nuphar hydropotes;Nuphar;Brasenia;Menyanthes;Dryopteris;Polypodium;Pteridium;Botrychium;Athyrium;Polystichum;Selaginella;Trilete;Monolete;Colonial fungi;Coprophilous fungi;Unknown A;Unknown B;Unknown C;Unknown D;Unknown E;Unknown F;Indeterminate;Other unknowns;Zea;Lycopodium;APFAC;Total Pollen and Spores
22,41;LcC;5;2;146;1;0;3;62;17;1;1;2;0;42;0;0;1;22;0;3;0;0;0;0;41;0;0;0;0;0;0;0;0;0;5;0;0;17;5;0;0;8;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;1;0;2;14;1;0;0;5;0;0;0;16;0;0;0;2;0;0;0;0;0;0;0;0;1;15;0;0;0;0;0;0;17;11;433;313;2085;475
22,62;Uch;3;0;104;0;0;1;44;51;2;1;0;0;73;8;0;1;24;0;3;0;0;0;0;22;2;2;0;0;0;0;0;0;0;4;0;1;10;2;0;0;20;2;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;2;6;11;5;0;0;3;0;0;0;30;0;0;0;1;1;0;0;0;0;0;0;0;11;15;0;0;0;0;0;0;14;13;537;291;2085;496
22,79;Uch;6;2;159;0;1;2;49;22;1;3;1;0;82;0;0;0;11;0;6;0;0;0;0;40;0;1;0;0;0;0;0;0;0;3;0;0;12;3;0;0;15;1;2;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;1;0;0;0;0;3;0;1;19;7;0;0;5;0;0;0;31;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;15;15;392;245;2085;529
23,55;LcC;3;0;201;0;0;4;36;36;2;1;0;0;40;0;0;2;29;0;4;0;0;0;0;34;2;0;0;0;0;0;0;0;0;1;0;0;13;4;0;2;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;3;1;4;17;5;0;0;18;0;1;0;83;5;0;0;3;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;310;231;2085;585
24,03;LcC;7;6;152;0;0;3;31;20;2;0;0;0;32;0;0;0;21;0;5;0;0;0;0;15;0;0;0;0;0;0;0;0;0;2;1;0;7;3;0;0;9;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;1;0;0;1;0;1;16;15;2;0;11;0;0;0;132;4;0;0;2;0;1;0;0;0;0;0;0;1;17;0;0;0;0;0;0;9;9;174;125;2085;544
24,5;LcC;6;3;290;0;0;6;15;33;1;1;0;0;44;0;0;0;23;0;1;0;0;0;0;32;0;0;0;0;0;0;0;0;0;4;0;0;5;5;0;0;5;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;2;2;6;10;9;0;0;2;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;8;8;417;153;2085;533
24,99;LcC;5;4;194;0;0;6;9;69;2;0;1;0;12;8;0;0;10;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;10;4;0;0;4;3;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3;0;0;0;0;2;0;4;5;1;0;0;3;0;0;0;28;1;2;0;0;0;0;0;0;0;0;0;1;5;6;0;0;0;0;0;0;11;19;0;50;2085;439
25,46;LcC;10;2;346;0;0;6;43;44;3;5;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;2;15;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;8;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;11;499;206;2085;530
25,93;LcC;9;3;243;0;0;3;23;81;0;3;0;0;4;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;9;0;0;8;0;0;0;0;2;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;6;6;1;0;0;2;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;15;9;0;112;2085;446
26,07;LcC;24;2;277;0;0;10;5;31;3;4;0;0;4;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;8;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;24;1;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;7;5;808;417;2085;421
